"","order_col","V1","V2","CO2","TempPrediction","TempActuals","Difference"
"49",49,"ECU","Ecuador",39171852.73,-0.376665184,1.081,1.457665184
"50",50,"EGY","Egypt",216175068.7,-0.370204057,0.526,0.896204057
"51",51,"IRL","Ireland",39668435.46,-0.376647057,1.26,1.636647057
"52",52,"GNQ","Equatorial Guinea",6684768.354,-0.377851056,1.308,1.685851056
"53",53,"EST","Estonia",19956861.82,-0.377366586,1.524,1.901366586
"54",54,"ERI","Eritrea",533967.1538,-0.378075577,1.584,1.962075577
"55",55,"SLV","El Salvador",7003286.046,-0.377839429,0.679,1.056839429
"56",56,"ETH","Ethiopia",13580352.49,-0.377599347,1.516,1.893599347
"57",57,"AUT","Austria",70617901.59,-0.375517312,1.73,2.105517312
"58",58,"CZE","Czech Republic",108126732.2,-0.374148132,1.597,1.971148132
"59",59,"GUF","Missing Data",0,0,0,0
"60",60,"FIN","Finland",45857363.03,-0.376421143,1.499,1.875421143
"61",61,"FJI","Fiji",1302751.595,-0.378047515,1.312,1.690047515
"62",62,"FLK","Missing Data",0,0,0,0
"63",63,"FSM","Missing Data",0,0,0,0
"64",64,"PYF","Missing Data",0,0,0,0
"65",65,"FRA","France",355549228.9,-0.3651165,1.76,2.1251165
"66",66,"GMB","Gambia",655755.8169,-0.378071132,2.055,2.433071132
"67",67,"GAB","Gabon",5634726.277,-0.377889385,1.26,1.637889385
"68",68,"GEO","Georgia",11222307.6,-0.377685422,0.881,1.258685422
"69",69,"GHA","Ghana",16932190.57,-0.377476995,1.339,1.716476995
"70",70,"GRD","Grenada",284038.9926,-0.378084701,1.092,1.470084701
"71",71,"GRL","Missing Data",0,0,0,0
"72",72,"DEU","Germany",804670793.8,-0.348722272,1.65,1.998722272
"73",73,"GUM","Missing Data",0,0,0,0
"74",74,"GRC","Greece",71980139.22,-0.375467587,0.74,1.115467587
"75",75,"GTM","Guatemala",20879857.57,-0.377332894,1.015,1.392332894
"76",76,"GIN","Guinea",2756292.598,-0.377994456,1.672,2.049994456
"77",77,"GUY","Guyana",2069532.565,-0.378019525,1.066,1.444019525
"78",78,"HTI","Haiti",2998241.774,-0.377985624,1.131,1.508985624
"79",79,"HND","Honduras",10857886.68,-0.377698725,1.003,1.380698725
"80",80,"HRV","Croatia",17154960.71,-0.377468863,1.547,1.924468863
"81",81,"HUN","Hungary",50387501.96,-0.37625578,1.367,1.74325578
"82",82,"ISL","Iceland",3473462.325,-0.377968277,1.659,2.036968277
"83",83,"IND","India",2465838218,-0.288084885,0.866,1.154084885
"84",84,"IRN","Iran",668262495.7,-0.353701567,1.735,2.088701567
"85",85,"ISR","Israel",65931814.44,-0.375688368,0.655,1.030688368
"86",86,"ITA","Italy",363321369.5,-0.364832794,1.623,1.987832794
"87",87,"CIV","Cote d'Ivoire",11793283.07,-0.37766458,1.579,1.95666458
"88",88,"IRQ","Iraq",190787328.9,-0.371130783,1.574,1.945130783
"89",89,"JPN","Japan",1205233925,-0.334100566,0.771,1.105100566
